ano,temp_mpi_esm1_2_lr_ssp2_4_5,temp_gfdl_esm4_ssp5_8_5,temp_gfdl_esm4_ssp2_4_5,temp_mpi_esm1_2_lr_ssp1_2_6,temp_mpi_esm1_2_lr_ssp5_8_5,temp_gfdl_esm4_ssp1_2_6,prec_ec_earth3_veg_lr_ssp5_8_5,prec_access_cm2_ssp5_8_5,prec_access_cm2_ssp2_4_5,prec_access_cm2_ssp1_2_6,prec_ec_earth3_veg_lr_ssp1_2_6,prec_ec_earth3_veg_lr_ssp2_4_5,prec_merge,temp_samet
2081,20.2506,25.139933,24.207357,19.376526,22.084158,23.786734,1222.2923920489848,814.5624379743822,1253.9550736080855,670.316622289829,746.3484078878537,932.3084074538201,,
2082,20.574738,25.380484,24.9057,19.223581,21.525412,24.282206,814.6210611099377,953.5811609588563,662.0421188534237,1098.9951026625931,754.8949633841403,733.6566459853202,,
2083,19.695456,25.536224,24.249857,18.98644,21.068949,24.218912,868.3985348325223,717.3973777214997,1211.6174411494285,884.4722419045866,628.1959155807272,1486.1483801621944,,
2084,20.547434,24.899912,24.559805,18.64158,22.481852,23.152863,486.99410527478904,1127.8245341498405,979.0495043853298,824.2613672744483,554.1423558373936,456.6680743941106,,
2085,20.001822,25.24347,24.370798,19.101217,22.144186,23.68747,874.3794588139281,936.3436966203153,678.0014924705029,989.9081076029688,635.8842954738066,719.6582388365641,,
2086,18.488638,25.513113,24.880686,20.312338,21.412292,24.135508,505.85110119427554,421.10169116640463,960.0737020606175,745.6506164919119,1001.2818313669413,448.50259363884106,,
2087,19.780487,25.75241,24.415457,19.168936,20.80599,23.627542,723.3345968881622,1266.1900882143527,727.2183240624145,1233.122346131131,622.5745148956776,500.68003894994035,,
2088,20.444834,25.9983,24.039999,20.274729,21.936453,23.237253,1060.2903811843134,982.7933390624821,1117.9158591432497,426.8775782897137,744.5040329592302,935.1158794015646,,
2089,19.665497,25.474375,23.840057,19.8526,21.742472,24.052267,575.2224275143817,808.269864670001,1226.8355359090492,942.2114253044128,694.2999368067831,1139.2688846681267,,
2090,21.355164,25.637136,24.292196,20.391855,21.928925,23.803598,845.0030267355032,1577.4503102526069,1762.1045063249767,1095.7001704489812,725.6036979379132,1048.1350989080966,,
2091,19.921396,26.780813,23.45288,19.504038,21.387207,23.466146,762.7285971539095,757.2035177377984,537.0365151437,844.8314446723089,1261.0754672437906,654.4821885880083,,
2092,21.042898,25.807413,24.358835,18.373596,22.1633,23.749094,746.9967394019477,1307.998797018081,1240.9884030930698,1039.866703050211,938.1898264051415,384.781385504175,,
2093,19.72342,25.606852,24.426056,18.563822,22.36555,23.742432,1162.251682835631,1174.3686471367255,1308.2496122689918,1124.8352266615257,827.3087443783879,729.0649495320395,,
2094,20.095316,26.532532,24.455282,19.146677,22.24819,23.650259,585.8093546004966,1104.8729468369856,1164.4165681209415,483.350816660095,639.1518594115041,928.663729224354,,
2095,19.651917,25.733755,24.483206,19.600708,22.866415,23.536581,383.5979897528887,474.1165370098315,698.888986359816,446.97949066758156,917.4133501946926,965.8214894821867,,
2096,20.073324,25.488739,25.05839,17.920725,22.047983,23.045288,422.1170686301775,735.4737038724124,534.3309801304713,1156.6328809596598,554.9034136813134,797.6464096689597,,
2097,21.051025,25.692331,24.930328,18.411478,22.547913,23.148245,1122.1621189266443,644.2968585994095,1000.5733466008678,1098.5567695694044,404.4385730638169,717.7012865664437,,
2098,20.256247,25.247864,24.80433,18.173574,22.347961,24.131998,1297.3928013117984,859.2727164854296,1160.2924265898764,614.5147152710706,641.6570013505407,768.9380208263174,,
2099,20.250498,24.890635,24.143738,18.271027,22.436218,24.15149,561.2124087056145,801.8539321725257,991.2710352335125,653.2406424405053,651.4542824355885,664.3211175687611,,
2100,20.694244,26.180796,25.208181,18.918945,22.634043,24.140219,668.58508590376,2056.2736485153437,752.8657528746407,1523.534335847944,470.8621223922819,858.4082173649222,,
